algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
3. Pthreads,pth,1,full,8,16,10,0.0024076937800000006,0.0027984572800000005,0.003117530780000001,0.00024854185900221676,0.0001540478401945281,0.9375914932673189
3. Pthreads,pth,1,full,8,32,10,0.0027187257800000007,0.0028544532800000005,0.0030293757800000007,0.00010679770242144718,6.619390175083196e-05,0.9888796077965587
3. Pthreads,pth,1,full,8,64,10,0.002880154780000001,0.0030535292800000008,0.003301567780000001,0.0001297199543394667,8.040126068240853e-05,1.054441154728341
3. Pthreads,pth,1,full,8,128,10,0.00434806978,0.004678789280000001,0.005064976780000001,0.00021398262468883374,0.00013262780484866793,1.094867033635676
3. Pthreads,pth,1,full,8,256,10,0.00851633478,0.008834765480000001,0.00935496478,0.0003205071689203606,0.00019865240139933118,1.5249613439654084
3. Pthreads,pth,1,full,8,512,10,0.024891058780000003,0.025647488180000004,0.027136507780000003,0.0007947727718333084,0.0004926052675306,1.9004688957419764
3. Pthreads,pth,1,full,8,1024,10,0.08141576278000001,0.08287989918,0.08493293478000001,0.0010573839463228942,0.0006553733598088035,2.1410176326906103
3. Pthreads,pth,1,full,8,2048,10,0.26507274578,0.27059697098,0.28001823778,0.005222190645806061,0.003236747296009066,2.3032367102367335
3. Pthreads,pth,1,full,8,4096,10,1.03511024078,1.0657896098800002,1.08707749078,0.017432114276297823,0.01080453636690602,2.2549662449895678
3. Pthreads,pth,1,full,8,8192,10,4.14207701578,4.24040223358,4.40272666378,0.0758906520325395,0.04703751345346988,2.2366763480672676
3. Pthreads,pth,1,full,16,16,10,0.0027033067800000007,0.0028631567800000007,0.003095935780000001,0.00011353266047461612,7.036827199999858e-05,0.9164044939236612
3. Pthreads,pth,1,full,16,32,10,0.0027980357800000007,0.0029400557800000004,0.0032990277800000003,0.00016355091725073123,0.00010136990873671877,0.960087444327332
3. Pthreads,pth,1,full,16,64,10,0.0028773987800000005,0.003387753680000001,0.0042954557800000005,0.0003800316451661039,0.00023554605400649814,0.9504135318362341
3. Pthreads,pth,1,full,16,128,10,0.004160928780000002,0.004577336480000001,0.006091834780000001,0.0005530075364071653,0.0003427576221438856,1.119133837414548
3. Pthreads,pth,1,full,16,256,10,0.0069642107800000005,0.0074167886799999996,0.008774772780000002,0.0005161228380878703,0.00031989624927444284,1.8165106788508365
3. Pthreads,pth,1,full,16,512,10,0.017809459780000002,0.018237116880000005,0.018925066780000003,0.00039062434538695776,0.0002421114776232744,2.672695133815471
